Time	"FINISHED" "BLOCKED" "INITIALIZE" "(step 11 12)" "(step 11 21)" "(step 12 11)" "(step 12 13)" "(step 12 22)" "(step 13 12)" "(step 13 14)" "(step 13 23)" "(step 14 13)" "(step 14 15)" "(step 14 24)" "(step 15 14)" "(step 15 25)" "(step 21 11)" "(step 21 22)" "(step 21 31)" "(step 22 12)" "(step 22 21)" "(step 22 23)" "(step 22 32)" "(step 23 13)" "(step 23 22)" "(step 23 24)" "(step 23 33)" "(step 24 14)" "(step 24 23)" "(step 24 25)" "(step 24 34)" "(step 25 15)" "(step 25 24)" "(step 25 35)" "(step 31 21)" "(step 31 32)" "(step 31 41)" "(step 32 22)" "(step 32 31)" "(step 32 33)" "(step 32 42)" "(step 33 23)" "(step 33 32)" "(step 33 34)" "(step 33 43)" "(step 34 24)" "(step 34 33)" "(step 34 35)" "(step 34 44)" "(step 35 25)" "(step 35 34)" "(step 35 45)" "(step 41 31)" "(step 41 42)" "(step 41 51)" "(step 42 32)" "(step 42 41)" "(step 42 43)" "(step 42 52)" "(step 43 33)" "(step 43 42)" "(step 43 44)" "(step 43 53)" "(step 44 34)" "(step 44 43)" "(step 44 45)" "(step 44 54)" "(step 45 35)" "(step 45 44)" "(step 45 55)" "(step 51 41)" "(step 51 52)" "(step 52 42)" "(step 52 51)" "(step 52 53)" "(step 53 43)" "(step 53 52)" "(step 53 54)" "(step 54 44)" "(step 54 53)" "(step 54 55)" "(step 55 45)" "(step 55 54)"
10	0 0 0.86999255497782635 5.6524900888465698e-05 0 3.2926991083963197e-07 1.9919102145726275e-08 1.0765757033079164e-05 0 4.6619765475101112e-18 1.3747705259174662e-11 0 0 0 0 0 0.0029332583768935912 0.09138770957617702 0.033073652494684441 0.00016189748190682481 0 0.00037523691942436681 0.001025769085524825 2.7116387548562558e-09 0 5.7685730295027661e-09 7.1633327659325778e-07 0 0 2.0864738207461031e-22 3.3428510787393203e-12 5.0140610369915247e-32 0 0 0 0.00092817507053885671 4.680626973226117e-05 3.8825019959472109e-06 1.2818211801394318e-07 2.2785678845946854e-06 2.7570539106433722e-07 4.949857246541474e-14 6.8327757052761847e-21 5.1290520376450927e-10 1.7006870089755188e-10 0 0 1.0817496494699955e-17 5.1390680455857096e-38 0 0 0 0 8.1478759498733427e-09 1.2813516737978256e-09 1.373145912686818e-15 3.2553187563441577e-14 4.5967651096627969e-14 3.523087970604354e-14 0 0 3.9674833268408466e-32 0 0 0 9.3183065446967047e-32 0 0 0 0 0 2.5774974911109821e-17 0 0 3.5698010429379885e-33 0 0 2.6503611957021044e-32 0 0 0 0 0
11	0 0 0.851971142098642 8.0785323407013389e-05 0 1.0429483451556607e-07 1.6419493087234012e-08 1.2305281952308569e-05 9.9946637492083938e-15 4.4296655944253592e-14 1.4425461361594912e-12 0 0 0 0 0 0.0028958093675209994 0.10938390907078872 0.031634405847963433 0.00015483817067421803 0 0.00050734030541157277 0.0023253994621407225 8.365769615504389e-11 0 8.5206091060120931e-08 2.4787310844557505e-06 8.3186434974885143e-34 0 1.2934248640095626e-21 2.8622816284527544e-15 5.9464968077070242e-38 0 0 0 0.00096917613203557982 5.6341043685839602e-05 3.4399405391967917e-06 1.1437354448814091e-07 1.6764222004063348e-06 6.0871547006974384e-07 5.1930732666021655e-15 3.8464462629411668e-16 1.0815972863546512e-11 2.2777233423078812e-10 0 0 2.0844603520615952e-23 2.8695162579423622e-42 0 0 0 0 2.3421521231480386e-08 3.8125287528641651e-11 5.8801543433780222e-16 9.0740362778276687e-12 3.7625805680921797e-14 5.7120322750625829e-15 0 0 2.215335116892292e-36 0 0 0 0 0 0 0 1.1484985014272457e-40 0 1.4418587512226546e-16 0 1.2193455756844358e-21 4.1366738887768059e-26 0 0 1.404701595030282e-38 0 0 0 0 0
12	0 0 0.72543151500204028 0.00010645173593906118 0 1.8126036680857234e-08 3.2909177396528819e-07 1.9185372992207362e-05 2.3620264413846723e-15 1.1636404620477145e-15 1.1936833012487605e-10 0 2.1588826304852319e-24 0 0 0 0.0010118221244569021 0.20545823520860387 0.054613656835583557 0.00029190481188416992 0 0.0018877000202379389 0.0077316773920038757 4.9587275615334584e-07 0 8.1940534041414822e-07 2.0495657993694452e-06 1.4260212918862549e-36 0 1.110042657913851e-18 6.3239191411893206e-16 4.5897325116047874e-43 0 0 0 0.0032003902876840103 0.0001772821019176444 6.035181678730361e-06 9.7045741932130226e-08 3.4843736378420722e-05 2.4745446661899115e-05 1.7777138772349427e-15 5.2170298890924965e-16 7.8733271513973284e-10 2.8846876588034979e-08 0 0 4.2638790574258782e-22 2.0371505445175549e-21 3.5057533320297381e-37 0 0 0 7.0447188466942439e-07 1.1307582569717573e-08 7.9754589623724941e-16 9.6768626993633952e-13 1.0043342909113054e-10 3.5959141151259789e-14 0 0 7.0186632714209702e-18 3.825771243055372e-28 0 0 0 0 0 0 1.1494462400509354e-47 0 8.0199877136593252e-16 0 2.3193761001167049e-24 3.8027454482829469e-19 0 0 3.1224077658906463e-43 0 0 0 0 0
13	0 0 0.54397481465759134 3.8352433349526119e-05 0 1.660694110984106e-09 8.8368776471921523e-07 2.8329979915900498e-05 0 1.6259905426992939e-18 4.2794414311878754e-09 5.7037595905271709e-38 1.4844823828488746e-29 0 0 0 0.00030143227918702752 0.32389792546759627 0.082933125190413598 0.00029757069207710763 0 0.0039627870991040849 0.032609031696046155 2.060273428841507e-08 0 1.0103103689534849e-06 3.5451402275115749e-05 0 0 4.5767635266377821e-19 1.6515118236286146e-09 1.7227005041124322e-46 0 1.3535564361530072e-45 0 0.010598403660825163 0.00059399420977284756 0.00012004379672974246 0.00022440910944914946 0.00016929400766415667 0.00021277512319574336 6.4398695830465508e-16 0 3.3817942750023668e-10 6.7506328453179827e-08 1.1336100896006927e-13 0 3.8215690778211671e-18 5.9103172734452914e-24 2.1832696566980437e-41 0 0 0 2.6887879586806423e-07 2.5209136013857815e-10 5.206887635567029e-13 1.8402579335730027e-13 2.5669662652156086e-11 3.3828717877662738e-13 0 0 2.0363014840122893e-20 4.5546958407679993e-17 0 0 0 0 0 0 4.1538575914875934e-54 0 6.8930918884129593e-14 0 1.1164614998068815e-26 5.2127457598990899e-17 0 0 2.5099296822696694e-35 0 0 0 0 0
14	0 0 0.36338341298723614 8.4870262625917652e-06 0 6.9870205593558552e-09 4.2596460920702976e-07 3.7541317511592775e-05 0 3.4509528034093749e-15 1.4349515893342165e-09 2.0544244374143596e-39 9.3995333800671327e-35 1.8426967135710726e-21 0 0 0.00036088166858475469 0.42817879498522776 0.10225756169604244 0.00042981408153595213 0 0.0059526461154150905 0.07180051160562842 3.9457228828865209e-08 0 1.1090620999650568e-06 0.00011989347788302022 0 0 2.5109417197293614e-16 6.4775520387297167e-10 1.0907896974289484e-51 0 3.4372122342952254e-47 0 0.023721056515872401 0.00077418779131609367 2.4092184864773696e-05 0.00030401731666375464 0.0014222402434069766 0.0012042344152316305 1.6325546404760045e-09 0 1.2741800235599937e-06 1.6541369543213816e-07 1.3427164423322386e-15 0 2.95338708952389e-22 1.6952886851318551e-26 1.2868280952468041e-45 0 0 0 1.7541868763026576e-05 1.4890167870484336e-08 9.1269761861422805e-13 1.0351948543615688e-11 4.4387242421031415e-08 6.2871465859538608e-10 0 0 1.2322282732735117e-19 4.7245361524263305e-12 0 0 0 0 0 0 1.5424367984049736e-60 0 4.9705471264373907e-13 0 5.2811221822933907e-29 1.9856370477058309e-16 0 0 1.8729439384663346e-39 0 0 0 0 0
15	0 0 0.15302437840637725 5.0579562108082607e-06 0 2.058080699607989e-10 1.8538942564304637e-07 2.458708168815871e-05 0 4.6600530174926904e-12 3.7538161277306269e-08 4.4649072794236774e-41 5.9171105385078331e-40 9.9753741328735244e-24 1.9694096443830951e-56 0 0.00011512631098722166 0.43697215655500099 0.11647640480262227 0.00021589747854689671 0 0.0071479851391273519 0.20598217926540835 1.423183255923541e-07 0 2.0593209864140365e-06 0.00032666554240345181 2.0094907569317239e-10 0 1.8356107422480075e-19 3.378628087183259e-10 8.1007323574810932e-51 0 2.3556002635129871e-53 0 0.069340654803417195 0.00156171734249954 5.0010613622783415e-05 0.00031322315714221748 0.0056575636519064264 0.002737163456106485 5.6822947794849093e-10 0 1.5701264837409525e-06 1.5298086516157406e-05 8.2416508863035538e-23 0 6.6507055186237003e-26 2.6325574786507977e-22 0 0 2.4399233575382373e-51 0 2.8226497723918975e-05 7.5001159291244425e-07 2.2040772571020949e-12 5.012890582464268e-13 6.9960227817909288e-07 2.5812548106394915e-07 0 0 1.5142286190174218e-21 8.0342553937719402e-14 0 0 0 1.1404437784404455e-47 0 0 4.8913635679994662e-66 0 9.9685819430013012e-11 9.60757058334066e-25 4.5622874827435408e-28 1.2841933791515444e-16 0 0 3.9062806470695188e-25 0 0 0 0 0
16	0 0 0.043263900944383996 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7610993431889776e-05 0.26908267456534551 0.11016618674827326 8.3322824069397396e-05 0 0.0047495070382718978 0.41261445424114979 9.1407249367522007e-07 0 3.2753400808919413e-06 0.00041549571988578704 0 0 0 0 0 0 0 0 0.13326304617308235 0.0024765008326363713 0.00026504080232981042 0.0019059893901084886 0.0092596189003118102 0.012293307451511 0 0 2.4764624838444507e-06 0.00010114552335948061 0 0 0 0 0 0 0 0 0 0 0 0 2.5286380839870153e-05 1.0245595896639192e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17	0 0 0.0078592167081911989 5.3545029328535989e-08 0 0 9.3142417606803642e-09 0 0 0 0 0 0 0 0 0 1.6137511654553114e-06 0.088500762628368396 0.086115311105564391 2.0315943450607295e-05 0 0.001369940622893991 0.57243971191874032 2.7588489921594051e-09 0 3.7696225325513286e-07 0.00024845582878966707 0 0 0 0 0 0 0 0 0.1943125594627961 0.0037365120411026517 0.00074265751231981003 0.0029816404104402719 0.012202177171888682 0.029052581053621851 1.0576997145825401e-05 0 4.6443755237389831e-06 8.0860620122174322e-05 0 0 0 0 0 0 0 0 0.00014199143275338836 4.9867691274056489e-06 0 0 0.00013516003404648696 3.7689223456219224e-05 0 0 1.9180811685457105e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18	0 0 0.00072583687894954031 2.0666799431851217e-09 0 0 1.0882914794729766e-10 0 0 0 0 0 0 0 0 0 1.5028496280320754e-07 0.019653255701174318 0.039825703739877025 3.726997505018679e-06 0 0.00039984176031362549 0.63809499088639521 5.3436977743797041e-08 0 1.0049831393141802e-07 0.00012679296832746596 0 0 1.6225887739755077e-12 0 0 0 0 0 0.22337596891055028 0.0029411915710506127 0.00047340060354218223 0.0030987154662159414 0.018329383444677289 0.051789756518849248 2.2499001910948897e-05 0 9.3086007375569366e-06 0.00013409404955672094 0 0 0 0 0 0 0 0 0.00021600185648591518 6.4462678696027332e-06 0 0.00010735311762289871 0.00064067243211277786 2.475014570237467e-05 0 0 2.6832623350690363e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19	0 0 4.7291449103574945e-05 1.0201770730053475e-11 0 0 1.7112660655214404e-10 0 4.3942293338081025e-11 3.6965426987147809e-15 1.0474184293985332e-12 0 0 0 0 0 6.9352954104451698e-09 0.0027971327155714367 0.018471169344257084 4.6585463634091736e-07 0 6.2187036582693749e-05 0.63278833664228662 5.1855721228634551e-10 0 5.1330830488367927e-08 4.3350075727132596e-05 4.2689110447276252e-16 0 1.7549806255244547e-13 0 0 0 0 0 0.22860874508144685 0.002124831452217243 0.00012983668525468945 0.0040900196453692774 0.017568507670930492 0.091356152791277415 1.1241965210230795e-06 0 1.2933152780623384e-05 0.00033314550981069368 0 0 0 1.2358995514379513e-08 0 0 0 0 0.00040628207028100492 7.8491394302830852e-06 0 0.00018907914470874779 0.00060256168091916561 0.00035743521430490371 0 0 1.2222133501956325e-06 2.4586028295177024e-07 0 0 0 0 0 0 0 0 0 0 0 2.4002769489924948e-08 0 0 0 0 0 0 0 0
