Time	"FINISHED" "BLOCKED" "INITIALIZE" "(step 11 12)" "(step 11 21)" "(step 12 11)" "(step 12 13)" "(step 12 22)" "(step 13 12)" "(step 13 14)" "(step 13 23)" "(step 14 13)" "(step 14 15)" "(step 14 24)" "(step 15 14)" "(step 15 25)" "(step 21 11)" "(step 21 22)" "(step 21 31)" "(step 22 12)" "(step 22 21)" "(step 22 23)" "(step 22 32)" "(step 23 13)" "(step 23 22)" "(step 23 24)" "(step 23 33)" "(step 24 14)" "(step 24 23)" "(step 24 25)" "(step 24 34)" "(step 25 15)" "(step 25 24)" "(step 25 35)" "(step 31 21)" "(step 31 32)" "(step 31 41)" "(step 32 22)" "(step 32 31)" "(step 32 33)" "(step 32 42)" "(step 33 23)" "(step 33 32)" "(step 33 34)" "(step 33 43)" "(step 34 24)" "(step 34 33)" "(step 34 35)" "(step 34 44)" "(step 35 25)" "(step 35 34)" "(step 35 45)" "(step 41 31)" "(step 41 42)" "(step 41 51)" "(step 42 32)" "(step 42 41)" "(step 42 43)" "(step 42 52)" "(step 43 33)" "(step 43 42)" "(step 43 44)" "(step 43 53)" "(step 44 34)" "(step 44 43)" "(step 44 45)" "(step 44 54)" "(step 45 35)" "(step 45 44)" "(step 45 55)" "(step 51 41)" "(step 51 52)" "(step 52 42)" "(step 52 51)" "(step 52 53)" "(step 53 43)" "(step 53 52)" "(step 53 54)" "(step 54 44)" "(step 54 53)" "(step 54 55)" "(step 55 45)" "(step 55 54)"
10	0 0 0.86914518656510642 4.7829754158732417e-05 0.0011751022134132369 2.7331818516512722e-07 1.5607753313382194e-07 7.2120381324312325e-06 1.6444782429058294e-10 2.0790493111011028e-12 4.3139991480628233e-10 1.142299088066837e-16 3.0819461209245046e-20 4.4213967862280915e-17 1.9878138013265227e-26 1.0871723922818049e-27 0.0026279404659287314 0.085769948608227328 0.034973854641182266 0.00011317072240008765 0.0013519636312214144 0.00028352788198148432 0.0013337506237928345 2.7186764523343341e-08 9.7635069696457355e-07 1.047915305321723e-08 3.0144368959060121e-07 7.8563138535059852e-15 1.6026148699362939e-12 4.2966434607494829e-16 8.6816723355658866e-14 5.0054816490610699e-25 7.1801343490078388e-22 5.5312253121777999e-24 0.0022330646954337422 0.00086552048957986281 4.9832669406580257e-05 1.0699599416726208e-05 5.0754726640068287e-06 2.7505392979224946e-06 1.5403591509120115e-06 7.7044700062292081e-10 3.3053426284709653e-09 4.1241910177972893e-11 1.6540556767595249e-10 8.6758679668019666e-17 2.478650091385357e-15 6.6829148741822578e-19 1.9019315795160479e-17 2.2945921272716905e-27 4.636187307529753e-25 5.0309099684601518e-28 2.2285722114993595e-07 5.3666832501252465e-08 5.898952275878566e-10 1.9401749164985506e-09 1.3659860238322774e-10 9.3080965311407003e-11 7.3974659843161718e-12 1.8002127437323434e-14 1.0134471969957414e-14 1.3772577023517817e-16 7.7769051845606897e-17 1.0057145532443387e-22 4.032349785961692e-22 1.0913071757344126e-25 4.3747890670124245e-25 1.5023871366575003e-34 4.2757252487750577e-33 6.5356466365090764e-37 1.7904347881323217e-13 9.582239765418707e-15 6.4679868159383274e-16 7.1979012398754701e-18 4.949155513387035e-18 4.187134290796967e-22 3.3293551993882479e-23 4.5422350323932167e-25 4.3288203660167647e-32 2.4443417254004227e-32 6.6167958688648629e-36 2.3530230916480162e-45 9.4327058224693602e-45
11	0 0 0.8473825784638398 4.4436818602329801e-05 0.0012804239980796571 3.8653005766979946e-07 2.2636952226006494e-07 1.2283698360939054e-05 3.310669847543184e-10 4.1728697355450964e-12 8.9926006731933806e-10 3.9263673748299749e-16 1.1047761943745699e-19 1.6141829917519495e-16 1.7859296811979431e-25 1.0422017862858968e-26 0.002426582290777711 0.10449844887461064 0.036388149766355703 0.00015548104777885556 0.0018424004509767313 0.00040476936116647224 0.0020597341134717933 5.0517173650385415e-08 2.2338562420969147e-06 2.0630946910529347e-08 6.1106370735397414e-07 3.036393477102148e-14 6.3980756611345232e-12 1.7718058449438688e-15 3.6455919028192735e-13 5.1730285123338145e-24 7.5561649153848465e-21 6.2105370973094301e-23 0.0024044704999966497 0.0010045301232598643 5.5714826861419587e-05 1.9863720846845701e-05 8.7972624459696626e-06 4.7586491362451872e-06 2.7042919107201103e-06 1.8922728640552675e-09 8.7074653853295475e-09 1.0618739984580705e-10 4.3380488154748341e-10 4.0680249748772746e-16 1.189682612501596e-14 3.3429570310369135e-18 9.6870692342148842e-17 2.7326965592726816e-26 5.6220253991386438e-24 6.5094032666398279e-27 2.5887367443137893e-07 6.5592294093732656e-08 7.3240638823580718e-10 4.6308223700799945e-09 3.1834138372681345e-10 2.2659328379526163e-10 1.8329442335052959e-11 7.4521253157733687e-14 4.2639544477656845e-14 6.0586934435578773e-16 3.4833721930344614e-16 7.3792735459106019e-22 3.0129201286631803e-21 8.5436693174667918e-25 3.4872630780200782e-24 2.1446447630914212e-33 6.2146156045216756e-32 1.0136098935436444e-35 2.3806456043649265e-13 1.3567235819553405e-14 2.1867819619473241e-15 2.475479889004461e-17 1.7837294245290308e-17 2.8414104419424249e-21 2.3001664052645727e-22 3.2886151565050084e-24 5.0546382598787131e-31 2.9061119332502271e-31 8.2441574968084766e-35 4.4991510586673051e-44 1.8364150539146971e-43
12	0 0 0.71912005813881208 3.6852967673054681e-05 0.001194920757953059 2.2855540814998825e-07 4.8959009308885894e-07 3.0255994590708404e-05 4.6621760343128438e-10 2.1194042550318477e-11 4.5100140903471049e-09 1.3808533488949669e-15 1.4481558355280428e-18 2.0546349138508e-15 2.1521991652221761e-24 4.5698542275015614e-25 0.001078457367425618 0.20030097493469359 0.05981823544872282 0.00017364717241570159 0.0021195958996162536 0.0016277097279033192 0.0084835869341539638 1.257779540579465e-07 6.5229668364158191e-06 1.8612849443478966e-07 5.400219766225865e-06 2.0096617063296957e-13 4.2107225591626391e-11 4.2667504710507748e-14 8.5236579198812263e-12 1.3883274734917998e-22 1.9689660145125243e-19 5.8875057502037521e-21 0.0022464099693437732 0.0034384642626973986 0.00017861900041459593 5.3418037482908036e-05 2.1368651271821065e-05 4.0918703655493929e-05 2.251691715854174e-05 1.1029875904313181e-08 5.2079508907858406e-08 2.2185929784507113e-09 8.80194484491517e-09 6.6276793657503619e-15 1.8963191391716758e-13 1.9813244695653243e-16 5.5732761743910653e-15 1.6720476217105529e-24 3.3394691710197487e-22 1.4068679054711797e-24 4.8089597282542283e-07 4.3742515247505367e-07 4.7319362406925093e-09 2.7035542142092488e-08 1.708609120836359e-09 4.5404482506418163e-09 3.5636050854605217e-10 1.1755384844198573e-12 6.5110508982240149e-13 3.4542602994514036e-14 1.9278079482069996e-14 3.9284358150810638e-20 1.5573040260214795e-19 1.654961890399403e-22 6.5571871474758623e-22 3.871390077431612e-31 1.0889711287882913e-29 6.4630490745762019e-33 9.1030987758312422e-13 1.8846680885794964e-13 3.2328399303581265e-14 3.542556400458805e-16 9.5686312442743486e-16 1.4500794173834978e-19 1.1392277863211817e-20 6.1056535284283336e-22 8.5711931618675847e-29 4.7835730994734274e-29 5.0870063181163703e-32 2.4752763505573766e-41 9.8073856055684306e-41
13	0 0 0.54252293014809694 1.372461864263469e-05 0.00094427284686724019 1.3591573409657319e-07 3.9494641568723038e-07 5.3962817271141573e-05 6.6998302863313848e-10 3.8543252242342988e-11 1.1471139424189106e-08 5.2378641347514926e-15 6.5897616667277142e-18 1.2152014295695446e-14 2.30765676506667e-23 7.5986598370612213e-24 0.00049220246941023471 0.3134837128821315 0.091924550869851199 0.00020970095118883169 0.0025467281858351557 0.0035941086258574513 0.030105527678881874 3.757257080035112e-07 2.2218249233417002e-05 8.6986883941651211e-07 3.3956754364627058e-05 1.4829294683671165e-12 3.9825325584633348e-10 4.8827403515815799e-13 1.267087689221653e-10 2.9888089599971146e-21 5.5031341983066847e-18 2.5517054960027162e-19 0.0019956692183414437 0.010821553005772254 0.00054063040986462711 0.00017022906073047969 9.2492329593082978e-05 0.00024928707201505841 0.00017501551217631811 9.9288763572879071e-08 5.8028309864698459e-07 3.1533484371161431e-08 1.6269825126857165e-07 1.6075404617087226e-13 5.9472225789785486e-12 7.453413502531109e-15 2.7219282277431288e-13 1.2570415358353887e-22 3.2593473857321491e-20 2.1293485867017996e-22 1.60875357549265e-06 2.8122824065150931e-06 3.8534394866127008e-08 2.8965015318686534e-07 2.5180790733005284e-08 8.064210854525497e-08 8.1979247165005236e-09 3.5645700810508264e-11 2.5667156956413864e-11 1.6306781422801094e-12 1.1814680400428468e-12 3.6928341049058067e-18 1.9003888453866596e-17 2.4125338266332462e-20 1.2409525204410593e-19 1.3508527062045838e-28 4.9329789346795542e-27 4.540157970260103e-30 1.0417422756378402e-11 3.3802522831138283e-12 1.226076886442371e-12 1.7485781859302144e-14 5.6419486998136734e-14 1.7130031935205834e-17 1.7472277392145745e-18 1.1185669758386931e-19 3.7426240758394699e-26 2.7116866453772109e-26 3.4445922126309827e-29 3.914593891610529e-38 2.0135775669286471e-37
14	0 0 0.36989023204003385 5.1661936934329148e-06 0.0006614535191320081 1.1903566524887493e-07 3.7283898641931352e-07 7.8866522684714494e-05 7.5730033122686703e-10 4.3902942413926998e-11 1.5048932873273733e-08 8.8975864925461946e-15 1.1334995943345719e-17 2.1334286478942416e-14 9.5526542718202801e-23 3.2686742906381729e-23 0.00030359890617443326 0.41331734798227804 0.10630602114142158 0.00028381109242840008 0.0030771489708711019 0.0055183369057305144 0.071048469790257404 7.4917626584276374e-07 5.4321644319953183e-05 1.7998863380875988e-06 8.0011915230022117e-05 6.3019962870919741e-12 1.7813431816020041e-09 2.1563970670026554e-12 5.6997961820888286e-10 3.1447329045199278e-20 5.888567277199385e-17 2.8361021329466109e-18 0.0017788279783605549 0.024438642406322052 0.00083755656199029831 0.00051808653206748562 0.00031203117862278117 0.00085626472609219172 0.00060872925667632865 5.707828857975449e-07 3.7496710904388878e-06 1.8545772808781533e-07 9.7924861139268355e-07 2.136256018797224e-12 8.1598108763243701e-11 1.0290822817309398e-13 3.8201770210257258e-12 4.4686109289976385e-21 1.1779139615108578e-18 7.9960088685531948e-21 4.6598342579093203e-06 8.6549333753319077e-06 1.1454488258680789e-07 2.2352929926020524e-06 1.8820054083352781e-07 6.1321211772004272e-07 6.3054309947687354e-08 6.2314554372269951e-10 4.5595815832727476e-10 2.9360692728531901e-11 2.1620693029681558e-11 1.6826608648284251e-16 8.8082847588007436e-16 1.1423293399217009e-18 5.9721351656750056e-18 1.9131829664375296e-26 7.1009938662479209e-25 6.7923983851493013e-28 8.1482417874012107e-11 2.7325795919045718e-11 2.7366906791717301e-11 3.9467237706337218e-13 1.3021174508995618e-12 1.0235973699501274e-15 1.0605987877539881e-16 6.9426056741551426e-18 6.8841644895467758e-24 5.0695587991442585e-24 6.5850178959251454e-27 2.6571470341746758e-35 1.3891636977690883e-34
15	0 0 0.16035242477203415 1.3141833843854452e-06 0.00029367276685851959 5.5637718048580371e-08 2.9234555645932333e-07 9.224298204483475e-05 5.1207553560673327e-10 5.0198916285755934e-11 2.2427288083478719e-08 6.8763058824187121e-15 1.433610218270647e-17 3.6075192257133545e-14 1.2942533525975963e-22 9.7284407789267126e-23 7.6330485531092486e-05 0.42783473091060198 0.12144123468185852 0.00017897943349651297 0.002458908407734352 0.0078761103770882777 0.20066123761929983 7.07430271324957e-07 8.8098151753200374e-05 3.7234447793173414e-06 0.00024031453718956525 1.0246175509112025e-11 4.1669403985333734e-09 7.7025053355912991e-12 2.7252817462249525e-09 1.4004128814429993e-19 3.5023665317350603e-16 3.7016500165896996e-17 0.0010792469552512514 0.066033016689783938 0.0018735218773095099 0.0011063968907356887 0.00088613640010626782 0.003779953694981528 0.0035384252958121924 2.0540799691240433e-06 2.1392442035217601e-05 1.4140489853383654e-06 1.0039358521084563e-05 1.6897668034230962e-11 8.9334703925572488e-10 1.7869869541777499e-12 8.8495857415244768e-11 1.0650527613268801e-19 3.7466610730976734e-17 5.585581589885814e-19 9.9685594485953617e-06 3.5102358627464046e-05 5.6700462432101297e-07 1.3578583550347009e-05 1.2486575011383737e-06 6.6126298128721044e-06 8.9759155572052091e-07 7.5933961919025117e-09 7.340318468773599e-09 7.5752046895869139e-10 7.4392419225277656e-10 6.7585978335391671e-15 4.7286567709920073e-14 1.0077965121685313e-16 7.0270212699573622e-16 2.672342333097374e-24 1.3229079197601813e-22 2.780709584877118e-25 4.6691836381632453e-10 3.3318888459494564e-10 5.1614911580340807e-10 9.6885873815381734e-12 5.2658085881109378e-11 5.836218775689387e-14 8.045364804863625e-15 8.6750588173578767e-16 1.4852219376048174e-21 1.4586993039227949e-21 3.1219118697435203e-24 2.5049564044412221e-32 1.7466156689552344e-31
16	0 0 0.046415711681560598 1.5112692203580915e-07 8.6169405268597674e-05 1.6951724609649389e-08 7.7018251884758689e-08 6.1551239203747827e-05 2.034366726556707e-10 1.7268434171724223e-11 1.2921062494620087e-08 3.4408532649351139e-15 6.1293863812265325e-18 2.2664825337463929e-14 6.3624338066350649e-23 5.9283347856790865e-23 1.5783022668154156e-05 0.2653353541438106 0.11339336108451781 8.1328683806331916e-05 0.0014903712997568284 0.0050033209590881469 0.40597913649440143 4.2060199998078209e-07 8.3681764708258834e-05 2.7727323165006219e-06 0.00032999601871950147 8.180282442458479e-12 4.9591657269647684e-09 7.6240305890122858e-12 3.9853251306264259e-09 1.7763589449973536e-19 6.5162221147199633e-16 8.5237769379177352e-17 0.00054844140911475259 0.13265003813546944 0.0029458653639801578 0.0016911163636955215 0.002239442743344049 0.0087972542100568669 0.012463336016861374 4.9136748549437037e-06 8.5771345503760004e-05 4.2682428757228019e-06 4.5585217167696056e-05 6.6928260635318821e-11 5.3294545798784042e-09 8.7733645359530542e-12 6.3681274386769957e-10 8.848776512945936e-19 4.5622840701710078e-16 8.4241293112270336e-18 1.966675259716695e-05 9.994145362532659e-05 2.0791242360434578e-06 6.6232042635036505e-05 8.8196630441308266e-06 3.9982854629961212e-05 7.8312307511766215e-06 6.1054684936101736e-08 8.7614108966913349e-08 7.482009140229188e-09 1.0760893241723515e-08 1.2079544259335919e-13 1.2428183721378467e-12 2.2317816751241003e-15 2.2788371975720063e-14 1.5176098305444288e-22 1.1002258010003039e-20 2.8666008334411911e-23 2.825194259421061e-09 2.48744417918756e-09 8.2925475301175335e-09 2.2530756710910204e-10 1.0366502040471207e-09 2.0862038841427828e-12 4.2027867118662618e-13 3.8342840458024819e-14 1.704715256345498e-19 2.4518219564926637e-19 4.4417200314946109e-22 1.0182930168658875e-29 1.0397478962778529e-28
17	0 0 0.0086405606748841887 1.0910139335772388e-08 1.6195614538569622e-05 3.5318318518198052e-09 1.1277635293279983e-08 2.1503731009469408e-05 3.9112865266410862e-11 2.3640127916786755e-12 3.0466318087223797e-09 4.7720962966576859e-16 5.9488294924930131e-19 3.630875072294531e-15 7.6273302858893962e-24 8.1863530692990982e-24 2.1398897908584061e-06 0.087808552537706613 0.089624203368800115 1.9510429805409872e-05 0.0005892011533613267 0.0014144789357530291 0.57054403229531347 8.7720323574494658e-08 3.7742252093249615e-05 6.6791472887122882e-07 0.00019019796151783518 1.676068073154633e-12 1.8183670218036813e-09 1.7994353867534614e-12 1.5666219993681328e-09 4.0531552393237108e-20 2.4484570274335729e-16 3.6766809855456226e-17 0.00024560241883942076 0.18867432941958587 0.0039181007628888674 0.0016623224522013637 0.0043476847740882216 0.011423457932762232 0.029888888364159052 5.0568151553269501e-06 0.00019499989106697859 5.0521907998389462e-06 9.2840495898966122e-05 7.6387791053286618e-11 1.0867445055133626e-08 1.1528297049762798e-11 1.3756435300134682e-09 1.3768877827630499e-18 1.1681211815110997e-15 2.4778228863994463e-17 3.0468344885260596e-05 0.00019607489194356528 5.5210997797405902e-06 0.00019772619075988064 3.9702664411511262e-05 0.00012327862027832341 3.8863894883421445e-05 2.0219970388092753e-07 4.9842648745103606e-07 2.751610206312914e-08 6.4994351218918956e-08 6.0354198794277347e-13 1.033483925786731e-11 1.2831258620867619e-14 2.1500096526775119e-13 1.4618882982399691e-21 1.739668634665099e-19 5.2197276949534768e-22 1.3099545120751603e-08 1.2857728954060289e-08 7.6716083425772235e-08 3.2906292068890385e-09 1.0621092861155638e-08 2.661016340749023e-11 8.7364916776996043e-12 5.5827846676722439e-13 4.7463455681700816e-18 1.1203067447895865e-17 1.4243702994358408e-20 8.4841895389408957e-28 1.4215410694812232e-26
18	0 0 0.00079979831815718289 7.7311368025940951e-10 1.5095516687024551e-06 3.4745224339446259e-10 2.0614010062659596e-09 5.0024181191384458e-06 4.3713823671457691e-12 4.9342472631871505e-13 5.9778893681481407e-10 5.8078749201513614e-17 1.3531778816967211e-19 7.2971385589738872e-16 8.0651024467853974e-25 1.4254376675691806e-24 1.7003478131223321e-07 0.019656777505667557 0.041824555800374176 3.6316821104983705e-06 0.00010648534959132364 0.00041961996359423032 0.64181785891557341 1.9042274288961744e-08 1.0385607558397604e-05 2.3919863917192673e-07 9.6859299429650605e-05 4.2369333675323558e-13 4.5314474579827814e-10 7.4919809314604343e-13 5.8715396845536593e-10 1.370708604059783e-20 7.3474032076209601e-17 1.8091464119423016e-17 8.0732412185003941e-05 0.21588318820571248 0.0028034980343310421 0.0014304183748044378 0.0042288878318096079 0.017637513596492214 0.051340701892058381 5.8745974289480518e-06 0.00029908003894325234 9.8076780106651925e-06 0.00016863483707266156 1.1436490821158462e-10 1.6100940998981123e-08 2.8427888296480597e-11 3.0045507555395138e-09 3.1268286796084585e-18 2.3536344624471956e-15 8.1865065967769111e-17 2.6392128185995395e-05 0.00030849908177741416 6.5422327343986317e-06 0.00043143602185318278 7.4872542261196121e-05 0.0004055060416557177 0.00011245739452270649 5.891885186676576e-07 1.4620945145705986e-06 1.2808718736616169e-07 2.6804108230252493e-07 3.2821552849198604e-12 5.1181217584490089e-11 1.148094353172641e-13 1.6995638778023333e-12 1.7488496780351017e-20 1.8398562628029385e-18 9.0845161015667031e-21 2.7010855319237016e-08 4.1188395015754841e-08 4.0411123141335235e-07 1.4320043611425926e-08 8.5889438766902965e-08 2.3356116888861756e-10 6.7186646818956168e-11 7.9481187113179928e-12 1.1059279215764842e-16 2.3074238515679482e-16 5.4642559373513588e-19 6.6615849659028603e-26 9.8600553407368461e-25
19	0 0 5.2890794268073611e-05 2.8411664323101972e-11 1.0041940169461057e-07 3.2949431101808098e-11 1.6191716569626908e-10 7.4556135262943325e-07 4.2339987781282775e-13 4.0168850227991624e-14 7.220546147344587e-11 5.5215319276797128e-18 1.0610675096463787e-20 8.7395929104170178e-17 7.2197866895625224e-26 1.5986116486238176e-25 9.0680133315857161e-09 0.0028354965669879417 0.019226488682252452 3.9674590000197153e-07 1.5789471377581104e-05 6.1613245285181619e-05 0.64221269139581549 2.403391054988248e-09 1.8782126165092238e-06 3.7979794092539422e-08 3.5695017122360763e-05 5.796116616419908e-14 8.6143740259815388e-11 1.2835270492909889e-13 1.542996268146123e-10 1.9713321090241864e-21 1.6118866961390177e-17 4.986771507935673e-18 2.56507757606391e-05 0.21795502589905058 0.0022781340641797546 0.00098011321992089975 0.0044124422904583561 0.017576221688721548 0.089017396612787694 5.1619679609464379e-06 0.00040987710179653041 1.0989227485456339e-05 0.00029651279822495241 1.1728124632032767e-10 2.3757222601524544e-08 3.652520527588489e-11 5.9126700088400631e-09 3.6871491870532767e-18 4.2408911927426587e-15 1.8501241933954283e-16 2.0927762316079718e-05 0.00043997062143483445 9.1751368206317839e-06 0.00075451803622315168 0.00017901514017330445 0.00083791602464995619 0.0003371730332502228 1.2824752237201627e-06 4.9452666886691935e-06 3.4548879167629579e-07 1.1082140567643365e-06 1.090685229309025e-11 2.6142514037040533e-10 4.7742292463451933e-13 1.0818193036669295e-11 1.0346617376754054e-19 1.666357691935929e-17 1.0300489404235256e-19 4.9041694749084107e-08 8.7302251073247274e-08 1.6261978688566452e-06 7.8843848305276662e-08 3.8770868350023363e-07 1.2572752136179209e-09 5.4271552449659637e-10 5.219331132567847e-11 1.3987106127650783e-15 4.4681824071316232e-15 8.6495517954319223e-18 2.2968721784867081e-24 5.2034168415868582e-23
20	0 0 2.7872150170539885e-06 7.3191178202787368e-13 5.3170758529119296e-09 2.0864379850667749e-12 7.4236081430537789e-12 7.4700985837556806e-08 2.5296602508136384e-14 1.7504369163242427e-15 5.0592088332055553e-12 2.485141368533647e-19 3.4660582597733705e-22 4.6089337553883239e-18 2.1855991024737834e-27 5.6536797797907142e-27 4.975227557958977e-10 0.00027729817826480541 0.0096543927291583547 3.512485767992933e-08 2.0933287707041028e-06 6.0761058748727312e-06 0.59749479622828061 1.5860370976251095e-10 2.2424674444515026e-07 2.9325435581788966e-09 9.4152103374284019e-06 3.3081780545100933e-15 8.2798047140411742e-12 8.5588407516695822e-15 1.7122050565305954e-11 1.0310869076523595e-22 1.3618178314741436e-18 4.9109299923087158e-19 9.6625391424664756e-06 0.20380665082212412 0.0023196658612354409 0.00062283754659957365 0.0049255896826766021 0.013950194630738126 0.1608943413345624 2.9446990378096006e-06 0.00048392172154040149 7.377463766876736e-06 0.00036230228003614006 6.4632515337935125e-11 2.2487665060553424e-08 2.3519394116223231e-11 6.1653677817302305e-09 1.9843604148085112e-18 3.6885912809418565e-15 1.8744510670722059e-16 1.8728570009616199e-05 0.00070017461795796 1.6578071327499655e-05 0.0012233853561420768 0.00049836771438318531 0.0016226238772209414 0.0010570779409253088 2.0373975920025419e-06 1.5047374177864401e-05 6.3327678398817934e-07 3.3031304653433398e-06 1.9752261960515196e-11 8.0262011399165511e-10 1.0091365776211073e-12 3.6860123897937535e-11 2.4719142689368512e-19 6.4257499008666852e-17 4.6325771085758026e-19 1.1118939110627925e-07 2.2282428179049445e-07 6.7447168039207977e-06 4.910636077798362e-07 1.7424523780592392e-06 5.8674707324900241e-09 4.0810247627443534e-09 2.8033544841263196e-10 8.468008746066048e-15 4.3729647300511577e-14 6.1118200419687128e-17 2.8536117074185843e-23 1.0417723334677407e-21
21	0 0 1.3865500660381396e-07 3.7413770913910112e-14 2.6581442482533078e-10 1.7273923526742445e-13 6.4243076386972381e-13 7.203825620434876e-09 1.5683303086561042e-15 1.1368663956065141e-16 3.3294908326099414e-13 1.2559564138567916e-20 1.8337751209255256e-23 2.3994992863739656e-19 7.8396221540144591e-29 2.0861391163846738e-28 7.1277382664043444e-11 2.6203624168869259e-05 0.004602531050243568 7.8686641503878655e-09 3.8491877955370364e-07 1.201893423274897e-06 0.53967519039849376 2.0966607525692136e-11 2.6465418269877512e-08 3.9785422362052648e-10 2.3700996855817702e-06 2.6118523795763264e-16 6.8084300278958985e-13 6.9511468161180426e-16 1.4129871732377404e-12 7.0578769330847419e-24 9.196286835927947e-20 3.4019628184088234e-20 5.3215146416152321e-06 0.18472082092280581 0.0019551646908926275 0.00053312782826796137 0.0047474519817653129 0.012327289640743476 0.24148052767765596 2.2754494277608966e-06 0.00051610408574413182 5.9262355418046052e-06 0.00032825652064102158 4.378923416103016e-11 1.6566871455711082e-08 1.6395740153760936e-11 4.2544907943722185e-09 1.3191040064556131e-18 2.4205368499768413e-15 1.2607769668331118e-16 1.7882337464920201e-05 0.0010227621977460038 1.900770419151554e-05 0.0020198888659464882 0.00097249172318431487 0.0029632640587630012 0.001979973978619013 3.4900916991181229e-06 3.3511497753299317e-05 1.1321377939363148e-06 5.8910642907417697e-06 3.6497420061326479e-11 1.5651623916494324e-09 1.9180733463726438e-12 6.8953090496334364e-11 5.4245558025860408e-19 1.390581257386188e-16 1.028592625602579e-18 2.0922819477246259e-07 4.1812336937182346e-07 2.2659958785635054e-05 1.5088803532382747e-06 5.5207991352828214e-06 2.0296375210528413e-08 1.4045247698107947e-08 9.7170903912597658e-10 4.355774213311448e-14 2.2247951181227407e-13 3.2324998661385127e-16 2.0971383183254571e-22 7.5322737690315865e-21
22	0 0 2.9903566345143656e-09 1.8231920124869814e-15 5.8138211416377196e-12 1.083829209835018e-14 6.1286788598615657e-14 3.8192633849549818e-10 6.9958387927739181e-17 7.7779167747189872e-18 2.3098708602178695e-14 3.9647492768644092e-22 8.7959883660325837e-25 1.4311012651096765e-20 2.3270211344302461e-30 1.1736513253264403e-29 8.0395977330300934e-12 1.3328025198707786e-06 0.0014641732458592132 1.688425997176423e-09 8.3921274770874325e-08 4.4817108796525672e-07 0.40049151494954588 3.4445505059905444e-12 2.4281165338537159e-09 1.2354092710231021e-10 6.171829418212851e-07 2.0230993955432369e-17 5.7020804031552556e-14 1.0204651736994363e-16 2.4680452441165194e-13 3.7164279734919601e-25 6.0393960528464443e-21 4.2437520587964826e-21 1.4614617852363062e-06 0.13741662794921763 0.0015970906038480042 0.00025606977234848903 0.0029596705704691959 0.01121555613766937 0.42420264643062738 1.3156444439202381e-06 0.0004403487412203025 6.5137308047447541e-06 0.0004556759890754607 2.8457457705012676e-11 1.3097487745478403e-08 2.0197629450735773e-11 6.5357938650388874e-09 9.161740491755658e-19 2.1000160794732627e-15 2.0746712161257319e-16 1.1896559229236855e-05 0.0017991305444044849 3.156702363125203e-05 0.0026271463649202437 0.0016475698489830522 0.0071925508667168951 0.0059621889887391975 5.8819102309748549e-06 8.3474603183840583e-05 3.6012185817996905e-06 2.3475325927655312e-05 8.0803786815101006e-11 4.4015015230058262e-09 8.0463857967799184e-12 3.6164334855987063e-10 1.5809920626858975e-18 5.0706593066066836e-16 7.1026634714180518e-18 3.0826663349532386e-07 1.0461359076139123e-06 6.9135650726122192e-05 4.5823268823715468e-06 2.5119356235707587e-05 7.5039250402629576e-08 6.4011078889905065e-08 6.4879562265500699e-09 2.7434596084625939e-13 1.7611614500718286e-12 3.8533286232654354e-15 2.606780537405349e-21 1.1706250333379971e-19
23	0 0 3.2107682236765735e-11 7.9144747197220416e-17 6.6968820107360614e-14 8.5248166722951271e-16 5.3679974803006745e-15 1.2284172602398069e-11 4.3631609770541877e-18 5.4364271111871669e-19 1.7917175835222989e-15 1.2068086006381764e-23 2.9858911746108933e-26 6.226194946011928e-22 4.9392480404362525e-32 3.5599728022501569e-31 7.8162780434185257e-13 3.7217188573753949e-08 0.00031421431885502317 3.0067344515371016e-10 1.8225387869595463e-08 1.1321598166311935e-07 0.21141895156189791 7.1338058468452768e-13 3.5615707948956939e-10 3.6548178144050939e-11 1.2783462707057503e-07 2.9996696380046924e-18 9.2418099692615562e-15 2.1621050565767984e-17 6.5055553903250055e-14 2.4963279966622192e-26 5.1788892316039771e-22 5.2332767289171058e-22 3.3315453045021803e-07 0.072655227937175035 0.0010968060458400463 9.6329462677697199e-05 0.0013627989787057895 0.0066346594344912782 0.66763986489402427 6.5583629323415874e-07 0.00026958587556238136 4.6985387785918777e-06 0.00050229626123630153 1.8251775727375855e-11 9.8642441732657823e-09 1.8519136096139962e-11 7.7469701366894358e-09 6.9480976576202532e-19 2.0385737785008921e-15 2.8889475657229028e-16 7.194430135191353e-06 0.0029111836417982395 4.584892395094635e-05 0.0027969495429732666 0.0026090764038511241 0.013867690995827004 0.015145247429372984 9.8451881388248807e-06 0.00019529730659275594 8.9938758142310868e-06 7.7129192281626439e-05 2.0261810255665233e-10 1.3911636564988147e-08 2.8875005632420249e-11 1.6689963159864087e-09 5.5323328757771321e-18 2.2780831075161913e-15 4.5634422399709334e-17 4.6000804340991556e-07 2.5898546930612026e-06 0.00020200905595936099 1.7099553209312605e-05 0.00010591400412042602 3.1893694555544927e-07 3.5849515170581172e-07 4.0150355846409018e-08 1.9352472291959317e-12 1.6026570671736779e-11 3.8845794855145801e-14 3.507758685745609e-20 2.0243696427117205e-18
