Init xI yI Goal xG yG LL
23 2 3 32 3 2 -188.66
23 2 3 33 3 3 -182.224
23 2 3 34 3 4 -182.44
23 2 3 35 3 5 -179.984
23 2 3 41 4 1 -179.872
23 2 3 42 4 2 -455.156
23 2 3 43 4 3 -180.613
23 2 3 44 4 4 -182.847
23 2 3 45 4 5 -179.44
23 2 3 51 5 1 -178.218
23 2 3 52 5 2 -178.196
23 2 3 53 5 3 -276.162
23 2 3 54 5 4 -193.327
23 2 3 55 5 5 -174.825
24 2 4 11 1 1 -196.501
24 2 4 12 1 2 -193.355
24 2 4 13 1 3 -195.093
24 2 4 14 1 4 -195.877
24 2 4 15 1 5 -196.529
24 2 4 21 2 1 -199.383
24 2 4 22 2 2 -223.97
24 2 4 23 2 3 -257.887
24 2 4 24 2 4 -834.987
24 2 4 25 2 5 -191.246
24 2 4 31 3 1 -197.422
24 2 4 32 3 2 -197.954
24 2 4 33 3 3 -196.162
24 2 4 34 3 4 -193.953
24 2 4 35 3 5 -194.063
24 2 4 41 4 1 -194.817
24 2 4 42 4 2 -200.942
24 2 4 43 4 3 -192.334
24 2 4 44 4 4 -193.665
24 2 4 45 4 5 -195.321
24 2 4 51 5 1 -189.904
24 2 4 52 5 2 -191.912
24 2 4 53 5 3 -289.809
24 2 4 54 5 4 -205.75
24 2 4 55 5 5 -188.182
25 2 5 11 1 1 -213.526
25 2 5 12 1 2 -212.721
25 2 5 13 1 3 -213.206
25 2 5 14 1 4 -214.293
25 2 5 15 1 5 -214.915
25 2 5 21 2 1 -215.01
25 2 5 22 2 2 -243.95
25 2 5 23 2 3 -290.144
25 2 5 24 2 4 -429.199
25 2 5 25 2 5 -1018.67
25 2 5 31 3 1 -214.555
25 2 5 32 3 2 -219.175
25 2 5 33 3 3 -214.411
25 2 5 34 3 4 -214.102
25 2 5 35 3 5 -215.011
25 2 5 41 4 1 -211.152
25 2 5 42 4 2 -521.936
25 2 5 43 4 3 -212.813
25 2 5 44 4 4 -212.438
25 2 5 45 4 5 -213.113
25 2 5 51 5 1 -209.551
25 2 5 52 5 2 -211.641
25 2 5 53 5 3 -240.619
25 2 5 54 5 4 -225.359
25 2 5 55 5 5 -208.028
31 3 1 11 1 1 -173.195
31 3 1 12 1 2 -169.452
31 3 1 13 1 3 -174.4
31 3 1 14 1 4 -170.266
31 3 1 15 1 5 -173.976
31 3 1 21 2 1 -177.943
31 3 1 22 2 2 -174.753
31 3 1 23 2 3 -172.301
31 3 1 24 2 4 -171.639
31 3 1 25 2 5 -168.618
31 3 1 31 3 1 -911.802
31 3 1 32 3 2 -184.989
31 3 1 33 3 3 -174.827
31 3 1 34 3 4 -169.629
31 3 1 35 3 5 -170.496
31 3 1 41 4 1 -170.813
31 3 1 42 4 2 -189.92
31 3 1 43 4 3 -171.005
31 3 1 44 4 4 -169.086
31 3 1 45 4 5 -168.133
31 3 1 51 5 1 -167.472
31 3 1 52 5 2 -170.133
31 3 1 53 5 3 -187.72
31 3 1 54 5 4 -180.342
31 3 1 55 5 5 -161.836
32 3 2 11 1 1 -182.711
32 3 2 12 1 2 -183.755
32 3 2 13 1 3 -184.237
32 3 2 14 1 4 -178.581
32 3 2 15 1 5 -181.265
32 3 2 21 2 1 -185.817
32 3 2 22 2 2 -186.324
32 3 2 23 2 3 -181.045
32 3 2 24 2 4 -179.631
32 3 2 25 2 5 -178.452
32 3 2 31 3 1 -187.239
32 3 2 32 3 2 -648.605
32 3 2 33 3 3 -185.622
32 3 2 34 3 4 -183.622
32 3 2 35 3 5 -178.133
32 3 2 41 4 1 -186.061
32 3 2 42 4 2 -233.551
32 3 2 43 4 3 -183.993
32 3 2 44 4 4 -183.488
32 3 2 45 4 5 -184.751
32 3 2 51 5 1 -179.566
32 3 2 52 5 2 -179.885
32 3 2 53 5 3 -191.812
32 3 2 54 5 4 -195.065
32 3 2 55 5 5 -178.394
33 3 3 11 1 1 -293.536
33 3 3 12 1 2 -194.014
33 3 3 13 1 3 -186.003
33 3 3 14 1 4 -202.259
33 3 3 15 1 5 -197.583
33 3 3 21 2 1 -191.776
33 3 3 22 2 2 -194.824
33 3 3 23 2 3 -188.701
33 3 3 24 2 4 -190.224
33 3 3 25 2 5 -186.614
33 3 3 31 3 1 -300.232
33 3 3 32 3 2 -207.904
33 3 3 33 3 3 -534.369
33 3 3 34 3 4 -187.145
33 3 3 35 3 5 -187.616
33 3 3 41 4 1 -190.326
33 3 3 42 4 2 -499.925
33 3 3 43 4 3 -186.277
33 3 3 44 4 4 -186.769
33 3 3 45 4 5 -189.813
33 3 3 51 5 1 -189.694
33 3 3 52 5 2 -187.218
33 3 3 53 5 3 -207.004
33 3 3 54 5 4 -203.931
33 3 3 55 5 5 -185.387
34 3 4 11 1 1 -205.195
34 3 4 12 1 2 -204.711
34 3 4 13 1 3 -211.416
34 3 4 14 1 4 -395.49
34 3 4 15 1 5 -204.675
34 3 4 21 2 1 -203.913
34 3 4 22 2 2 -202.767
34 3 4 23 2 3 -198.477
34 3 4 24 2 4 -201.597
34 3 4 25 2 5 -196.291
34 3 4 31 3 1 -377.474
34 3 4 32 3 2 -663.281
34 3 4 33 3 3 -224.765
