Time	"FINISHED" "BLOCKED" "INITIALIZE" "(print a)" "(print b)" "(print c)" "(*****JAM-PRINTER******)" "(repair-printer alice)" "(repair-printer bob)" "(get-coffee alice)" "(get-coffee bob)" "(fetch alice water water-tap)" "(fetch alice paper paper-stack)" "(fetch alice ground-coffee coffee-jar)" "(fetch bob water water-tap)" "(fetch bob paper paper-stack)" "(fetch bob ground-coffee coffee-jar)" "(replenish alice water coffee-machine)" "(replenish alice paper printer)" "(replenish alice ground-coffee coffee-machine)" "(replenish bob water coffee-machine)" "(replenish bob paper printer)" "(replenish bob ground-coffee coffee-machine)" "(goto alice door printer)" "(goto alice door paper-stack)" "(goto alice door coffee-machine)" "(goto alice door water-tap)" "(goto alice door coffee-jar)" "(goto alice printer door)" "(goto alice printer paper-stack)" "(goto alice printer coffee-machine)" "(goto alice printer water-tap)" "(goto alice printer coffee-jar)" "(goto alice paper-stack door)" "(goto alice paper-stack printer)" "(goto alice paper-stack coffee-machine)" "(goto alice paper-stack water-tap)" "(goto alice paper-stack coffee-jar)" "(goto alice coffee-machine door)" "(goto alice coffee-machine printer)" "(goto alice coffee-machine paper-stack)" "(goto alice coffee-machine water-tap)" "(goto alice coffee-machine coffee-jar)" "(goto alice water-tap door)" "(goto alice water-tap printer)" "(goto alice water-tap paper-stack)" "(goto alice water-tap coffee-machine)" "(goto alice water-tap coffee-jar)" "(goto alice coffee-jar door)" "(goto alice coffee-jar printer)" "(goto alice coffee-jar paper-stack)" "(goto alice coffee-jar coffee-machine)" "(goto alice coffee-jar water-tap)" "(goto bob door printer)" "(goto bob door paper-stack)" "(goto bob door coffee-machine)" "(goto bob door water-tap)" "(goto bob door coffee-jar)" "(goto bob printer door)" "(goto bob printer paper-stack)" "(goto bob printer coffee-machine)" "(goto bob printer water-tap)" "(goto bob printer coffee-jar)" "(goto bob paper-stack door)" "(goto bob paper-stack printer)" "(goto bob paper-stack coffee-machine)" "(goto bob paper-stack water-tap)" "(goto bob paper-stack coffee-jar)" "(goto bob coffee-machine door)" "(goto bob coffee-machine printer)" "(goto bob coffee-machine paper-stack)" "(goto bob coffee-machine water-tap)" "(goto bob coffee-machine coffee-jar)" "(goto bob water-tap door)" "(goto bob water-tap printer)" "(goto bob water-tap paper-stack)" "(goto bob water-tap coffee-machine)" "(goto bob water-tap coffee-jar)" "(goto bob coffee-jar door)" "(goto bob coffee-jar printer)" "(goto bob coffee-jar paper-stack)" "(goto bob coffee-jar coffee-machine)" "(goto bob coffee-jar water-tap)" "(enter alice)" "(enter bob)" "(exit alice)" "(exit bob)"
10	0 0 0 0.14139941690963145 0.16350826044704717 0.15306122448980677 0.056365403304182667 0 0 0 0 0.087220602526731458 0 0 0.10422740524782144 0 0 0 0.14795918367348007 0 0 0.14625850340137117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51896207584830123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48103792415169505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12	0 0 0 0.1967163271511298 0.18273031316511373 0.19550015202191101 0.0051687442991795252 0 0 0 0 0.086348434174528282 0 0.12921860747948705 0.080875646093044234 0 0.12344177561569794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13	0 0 0 0.18856345885634848 0.19191073919107646 0.18047419804742254 0.0050209205020921611 0 0 0 0 0.082287308228733119 0 0.13277545327754889 0.094281729428175629 0 0.12468619246862292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14	0 0 0 0.15288394718554346 0.15427380125086657 0.17164697706740537 0.039610840861709004 0 0 0 0 0.10006949270326501 0 0.14246004169562018 0.08686587908269526 0 0.15218902015288191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15	0 0 0 0.11548117154812257 0.10794979079498412 0.11338912133891745 0.15983263598327002 0 0 0 0 0.12092050209205589 0 0.1435146443514706 0.10627615062762003 0 0.13263598326360432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50815850815851238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49184149184149584 0 0 0 0 0 0 0 0 0 0
17	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47204030226702426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5279596977330191 0 0 0 0 0
18	0 0 0 0 0 0 0.14459352801895428 0 0 0 0 0 0 0 0 0 0 0.22336227308605316 0 0.20299921073403762 0.21010260457776397 0 0.2189423835832901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19	0 0 0 0 0 0 0.22032828282829039 0 0 0 0 0 0 0 0 0 0 0.20738636363637084 0 0.18087121212121857 0.18781565656566321 0 0.20359848484849194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20	0 0 0 0 0 0 0.099534342258442016 0 0 0.30209545983702307 0.29685681024447358 0 0 0 0 0 0 0.082072176949943287 0 0.075087310826543796 0.067520372526194347 0 0.076833527357393669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21	0 0 0 0 0 0 0.11648404001906401 0 0 0.43735111958080081 0.44616484040024018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52771272443403472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47228727556596284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5302063789868926 0.46979362101316002
24	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47526881720429814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52473118279569508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49788314987303184 0.50211685012705387
26	0 0 0 0 0 0 0.99999999999995903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
