Time	"FINISHED" "BLOCKED" "INITIALIZE" "(print a)" "(print b)" "(print c)" "(*****JAM-PRINTER******)" "(repair-printer alice)" "(repair-printer bob)" "(get-coffee alice)" "(get-coffee bob)" "(fetch alice water water-tap)" "(fetch alice paper paper-stack)" "(fetch alice ground-coffee coffee-jar)" "(fetch bob water water-tap)" "(fetch bob paper paper-stack)" "(fetch bob ground-coffee coffee-jar)" "(replenish alice water coffee-machine)" "(replenish alice paper printer)" "(replenish alice ground-coffee coffee-machine)" "(replenish bob water coffee-machine)" "(replenish bob paper printer)" "(replenish bob ground-coffee coffee-machine)" "(goto alice door printer)" "(goto alice door paper-stack)" "(goto alice door coffee-machine)" "(goto alice door water-tap)" "(goto alice door coffee-jar)" "(goto alice printer door)" "(goto alice printer paper-stack)" "(goto alice printer coffee-machine)" "(goto alice printer water-tap)" "(goto alice printer coffee-jar)" "(goto alice paper-stack door)" "(goto alice paper-stack printer)" "(goto alice paper-stack coffee-machine)" "(goto alice paper-stack water-tap)" "(goto alice paper-stack coffee-jar)" "(goto alice coffee-machine door)" "(goto alice coffee-machine printer)" "(goto alice coffee-machine paper-stack)" "(goto alice coffee-machine water-tap)" "(goto alice coffee-machine coffee-jar)" "(goto alice water-tap door)" "(goto alice water-tap printer)" "(goto alice water-tap paper-stack)" "(goto alice water-tap coffee-machine)" "(goto alice water-tap coffee-jar)" "(goto alice coffee-jar door)" "(goto alice coffee-jar printer)" "(goto alice coffee-jar paper-stack)" "(goto alice coffee-jar coffee-machine)" "(goto alice coffee-jar water-tap)" "(goto bob door printer)" "(goto bob door paper-stack)" "(goto bob door coffee-machine)" "(goto bob door water-tap)" "(goto bob door coffee-jar)" "(goto bob printer door)" "(goto bob printer paper-stack)" "(goto bob printer coffee-machine)" "(goto bob printer water-tap)" "(goto bob printer coffee-jar)" "(goto bob paper-stack door)" "(goto bob paper-stack printer)" "(goto bob paper-stack coffee-machine)" "(goto bob paper-stack water-tap)" "(goto bob paper-stack coffee-jar)" "(goto bob coffee-machine door)" "(goto bob coffee-machine printer)" "(goto bob coffee-machine paper-stack)" "(goto bob coffee-machine water-tap)" "(goto bob coffee-machine coffee-jar)" "(goto bob water-tap door)" "(goto bob water-tap printer)" "(goto bob water-tap paper-stack)" "(goto bob water-tap coffee-machine)" "(goto bob water-tap coffee-jar)" "(goto bob coffee-jar door)" "(goto bob coffee-jar printer)" "(goto bob coffee-jar paper-stack)" "(goto bob coffee-jar coffee-machine)" "(goto bob coffee-jar water-tap)" "(enter alice)" "(enter bob)" "(exit alice)" "(exit bob)"
10	0 0 0 0.14909678403829846 0.14909678403829846 0.14909678403829846 0.055711467809523602 0.00037811653849746462 0.00037811653849746462 0 0 0.09616831254494948 0 0 0.096168312544949522 0 0 0 0.15195266095434343 0 0 0.15195266095434343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49999999999999994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49999999999999989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12	0 0 0 0.19380914100040531 0.19380914100040531 0.19380914100040531 0.004552261215766424 0 0 0 0 0.081427176568946213 0 0.12558298132256279 0.081427176568946241 0 0.12558298132256276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13	0 0 0 0.18183296209203317 0.18183296209203317 0.18183296209203317 0.0060519914730423436 0 0 0 0 0.092133814230748318 0 0.13209074689468042 0.092133814230748373 0 0.13209074689468042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14	0 0 0 0.15742233973955178 0.15742233973955178 0.15742233973955178 0.040559703318776945 0 0 0 0 0.10229388578218636 0 0.14129275294909754 0.10229388578218643 0 0.14129275294909754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15	0 0 0 0.10636186055518385 0.10636186055518385 0.10636186055518385 0.16444014666814744 0 0 0 0 0.1116247653139848 0 0.14661237051916573 0.11162476531398489 0 0.14661237051916576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50000000000000011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50000000000000022 0 0 0 0 0 0 0 0 0 0
17	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50000000000000011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49999999999999994 0 0 0 0 0
18	0 0 0 0 0 0 0.14940196663895711 0 0 0 0 0 0 0 0 0 0 0.21434193037247914 0 0.21095708630804236 0.2143419303724792 0 0.21095708630804227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19	0 0 0 0 0 0 0.21914982639304248 0 0 0 0 0 0 0 0 0 0 0.19521254340173938 0 0.19521254340173946 0.19521254340173946 0 0.19521254340173938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20	0 0 0 0 0 0 0.10710430444548248 0 0 0.29305184838717774 0.29305184838717774 0 0 0 0 0 0 0.076697999695040514 0 0.076697999695040514 0.076697999695040514 0 0.076697999695040514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21	0 0 0 0 0 0 0.11207457273505778 0 0 0.4439627136324712 0.44396271363247108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49999999999999989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.080902487449924149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.080902487449924163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41909751255007582 0.41909751255007588
24	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5
26	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
